epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,354.976,1.08462,1.102,1.20728,0.82215,0.80452,0.86622,0.5984,0.95001,0.65359,1.20606,0.00998489,0.0033283,0.00998489,0.0033283,0.00998489,0.0033283,0.00998489,0.0033283
2,688.272,1.04974,0.81374,1.17896,0.79417,0.7841,0.82245,0.57658,0.96228,0.75367,1.2489,0.019787,0.00659568,0.019787,0.00659568,0.019787,0.00659568,0.019787,0.00659568
3,1012.12,1.11162,0.90476,1.22748,0.76707,0.74833,0.78893,0.51978,1.04145,0.84736,1.31919,0.0293912,0.00979706,0.0293912,0.00979706,0.0293912,0.00979706,0.0293912,0.00979706
4,1362.31,1.13901,0.93291,1.24892,0.73402,0.76743,0.80451,0.54411,1.02369,0.76311,1.29994,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1713.64,1.09354,0.85538,1.22716,0.84324,0.80102,0.87011,0.611,0.95359,0.65044,1.24825,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2057.39,1.05405,0.80489,1.20426,0.81822,0.81025,0.86898,0.61249,0.95117,0.63634,1.24109,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2393.2,1.02797,0.76027,1.187,0.83427,0.81134,0.8768,0.63348,0.91548,0.57664,1.2018,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2715.48,1.01066,0.73367,1.17457,0.84744,0.8423,0.89671,0.65098,0.90212,0.56543,1.19541,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3037.83,0.99958,0.71138,1.1633,0.86223,0.85418,0.9087,0.66154,0.88677,0.55534,1.18851,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3360.02,0.98045,0.69032,1.16001,0.85438,0.83418,0.89854,0.65862,0.87135,0.53616,1.17185,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3682,0.96512,0.67396,1.15197,0.85604,0.85386,0.90649,0.67161,0.87,0.5463,1.17317,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4004.3,0.95815,0.66226,1.14405,0.86386,0.84803,0.90494,0.6619,0.86995,0.52715,1.16866,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4326.44,0.95122,0.64965,1.14428,0.86342,0.85513,0.90897,0.67963,0.84542,0.50058,1.15283,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4648.29,0.93503,0.63841,1.13597,0.87226,0.86031,0.91343,0.67939,0.85174,0.51045,1.15612,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4970.59,0.93577,0.62817,1.13201,0.86715,0.8616,0.91672,0.6879,0.83775,0.53821,1.13686,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5292.8,0.92194,0.62157,1.1274,0.88455,0.86105,0.9152,0.68845,0.84076,0.49101,1.15622,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5615.01,0.91442,0.60771,1.12384,0.86956,0.87174,0.91796,0.6938,0.83685,0.47578,1.13974,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5937.22,0.90503,0.60238,1.11718,0.87087,0.87412,0.92353,0.70124,0.80671,0.47111,1.1163,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6259.62,0.90859,0.59597,1.11191,0.88405,0.87273,0.92547,0.701,0.82093,0.4647,1.12232,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6588.81,0.89666,0.58881,1.1086,0.88214,0.87442,0.92581,0.70211,0.81055,0.46782,1.11928,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6918.95,0.88851,0.57359,1.10357,0.88899,0.87025,0.92735,0.70331,0.81144,0.46182,1.11818,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7251.29,0.8859,0.5768,1.09995,0.88389,0.874,0.92971,0.70767,0.80032,0.46487,1.11082,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7596.95,0.87721,0.57037,1.10128,0.90063,0.8611,0.93002,0.71318,0.79803,0.45155,1.10641,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7938.86,0.87574,0.56734,1.09729,0.88302,0.88153,0.92883,0.71482,0.79359,0.45846,1.09823,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
