epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.522,1.32788,1.17188,1.17415,0.62541,0.6632,0.6806,0.36712,1.56076,0.98997,1.26215,0.000332461,0.000332461,0.0670864
2,228.903,1.24426,0.96569,1.13521,0.60084,0.64392,0.66338,0.40362,1.23463,1.09539,1.16203,0.0006614,0.0006614,0.034082
3,336.537,1.21441,0.91044,1.12393,0.63619,0.71859,0.70285,0.43516,1.1843,0.86365,1.13939,0.000985939,0.000985939,0.0010732
4,448.739,1.19281,0.87617,1.11377,0.70067,0.66238,0.71138,0.43867,1.26747,0.88355,1.14795,0.0009802,0.0009802,0.0009802
5,556.528,1.15472,0.82824,1.09674,0.77616,0.73747,0.80912,0.51929,1.17764,0.80306,1.1204,0.0009736,0.0009736,0.0009736
6,665.531,1.13506,0.80263,1.08542,0.69712,0.74416,0.78173,0.48961,1.19995,0.76141,1.13287,0.000967,0.000967,0.000967
7,774.628,1.12674,0.79383,1.08491,0.68723,0.75083,0.79216,0.52479,1.08846,0.74963,1.08624,0.0009604,0.0009604,0.0009604
8,885.002,1.10401,0.76269,1.07883,0.78679,0.77249,0.83467,0.56416,1.07107,0.72877,1.07601,0.0009538,0.0009538,0.0009538
9,1000.34,1.09098,0.74522,1.0676,0.81896,0.76268,0.84406,0.57753,1.05397,0.68193,1.07474,0.0009472,0.0009472,0.0009472
10,1109.5,1.0772,0.73678,1.06633,0.80619,0.76251,0.83728,0.57212,1.0771,0.70211,1.07458,0.0009406,0.0009406,0.0009406
11,1221.49,1.07263,0.72441,1.06046,0.83286,0.77667,0.85734,0.58789,1.05749,0.67406,1.06639,0.000934,0.000934,0.000934
12,1335.02,1.06871,0.70715,1.05478,0.82076,0.79499,0.86169,0.59484,1.03808,0.65238,1.06558,0.0009274,0.0009274,0.0009274
13,1445.36,1.06167,0.71231,1.0555,0.83179,0.78475,0.85953,0.5995,1.03885,0.65786,1.05673,0.0009208,0.0009208,0.0009208
14,1555.46,1.04526,0.69614,1.04945,0.79862,0.79025,0.85143,0.59971,1.02302,0.64189,1.05412,0.0009142,0.0009142,0.0009142
15,1666.94,1.04336,0.68714,1.04827,0.81693,0.79171,0.85318,0.60319,1.01986,0.64442,1.05071,0.0009076,0.0009076,0.0009076
16,1785.19,1.03055,0.67753,1.04248,0.85776,0.79613,0.88389,0.6259,1.00558,0.61082,1.04376,0.000901,0.000901,0.000901
17,1899.61,1.0201,0.66524,1.03765,0.81243,0.81478,0.87124,0.61084,1.0167,0.60688,1.05204,0.0008944,0.0008944,0.0008944
18,2007.52,1.01321,0.66509,1.0344,0.8294,0.79646,0.8695,0.6168,1.0026,0.60426,1.04414,0.0008878,0.0008878,0.0008878
19,2119.78,1.01417,0.66274,1.03506,0.82143,0.79273,0.86069,0.61262,1.00721,0.61683,1.04565,0.0008812,0.0008812,0.0008812
20,2248.57,1.01235,0.6587,1.03554,0.82684,0.81456,0.88219,0.62931,0.99865,0.59064,1.04022,0.0008746,0.0008746,0.0008746
21,2379.71,0.99805,0.64446,1.02872,0.80878,0.81577,0.87121,0.62218,0.99849,0.62385,1.04967,0.000868,0.000868,0.000868
22,2504.96,1.00349,0.64895,1.02668,0.85091,0.82467,0.89003,0.63974,0.97992,0.6003,1.03578,0.0008614,0.0008614,0.0008614
23,2632.03,1.00195,0.64689,1.02878,0.84068,0.83195,0.89185,0.64064,0.97947,0.60363,1.02939,0.0008548,0.0008548,0.0008548
24,2778.71,0.9914,0.63699,1.02499,0.86625,0.81672,0.89295,0.65054,0.9659,0.57851,1.02744,0.0008482,0.0008482,0.0008482
25,2906.87,0.99304,0.63546,1.02367,0.8222,0.81609,0.88651,0.64598,0.98506,0.57256,1.03512,0.0008416,0.0008416,0.0008416
26,3032.02,0.9843,0.62686,1.02227,0.85226,0.82191,0.88989,0.63988,0.97391,0.57607,1.03562,0.000835,0.000835,0.000835
27,3154.02,0.98257,0.62025,1.01626,0.83959,0.8284,0.88781,0.64171,0.96915,0.58029,1.02623,0.0008284,0.0008284,0.0008284
28,3273.31,0.97274,0.62191,1.01776,0.85566,0.83687,0.89892,0.64886,0.98042,0.5627,1.0301,0.0008218,0.0008218,0.0008218
29,3395.82,0.97495,0.62558,1.01721,0.87217,0.82335,0.90398,0.65254,0.98203,0.55491,1.02831,0.0008152,0.0008152,0.0008152
30,3513.7,0.96765,0.60906,1.01749,0.86071,0.83732,0.90587,0.65886,0.97475,0.55002,1.02466,0.0008086,0.0008086,0.0008086
31,3631.45,0.96418,0.61531,1.0155,0.83749,0.82841,0.89913,0.65466,0.97752,0.58192,1.02435,0.000802,0.000802,0.000802
32,3752.21,0.96283,0.60612,1.01208,0.84786,0.8326,0.89245,0.6538,0.9644,0.55437,1.02243,0.0007954,0.0007954,0.0007954
33,3867.36,0.95731,0.60371,1.00985,0.85098,0.84508,0.90663,0.6623,0.95465,0.53985,1.0156,0.0007888,0.0007888,0.0007888
34,3988.34,0.95277,0.60017,1.00961,0.8714,0.82054,0.90516,0.66603,0.94585,0.5472,1.01658,0.0007822,0.0007822,0.0007822
35,4109.24,0.95538,0.59898,1.00816,0.85361,0.83699,0.89604,0.65986,0.95765,0.548,1.01642,0.0007756,0.0007756,0.0007756
